employee_id,first_name,last_name,email,department_id,role_id,hire_date,active_flag
1,Tonya,Patrick,corey15@castro-gomez.com,4,4,2018-12-15,True
2,Tammy,Woods,trujilloana@gmail.com,3,5,2017-01-23,False
3,Jennifer,Ross,vclayton@cross.com,4,3,2018-09-23,False
4,Sally,Walker,udavis@bolton.com,3,5,2017-08-07,True
5,Amy,Olsen,sean96@johnston-roberts.com,5,2,2018-08-27,False
6,Antonio,Zavala,rjones@gmail.com,2,1,2018-01-08,False
7,Sandra,Kirby,aimee33@hotmail.com,5,6,2022-08-12,True
8,Bethany,Hayes,nguyendarrell@hotmail.com,3,1,2021-03-07,True
9,Megan,Sanchez,thorntonnathan@gmail.com,6,3,2021-02-18,False
10,Ronald,Brown,brandonberry@guzman.com,5,1,2025-04-10,False
11,David,Davis,jacobsjames@robbins.com,4,3,2016-07-07,True
12,Sharon,Johnson,huffchad@gmail.com,5,4,2020-08-06,False
13,Michael,White,carlsonholly@yahoo.com,5,3,2018-11-13,True
14,Jorge,Strong,heidiharris@gmail.com,5,1,2018-03-03,True
15,Megan,Peterson,carlsonscott@gmail.com,6,4,2015-09-14,True
16,Thomas,Ortiz,paul42@hotmail.com,5,4,2015-09-09,False
17,Stephen,Miller,dennis75@roberts.org,2,6,2017-09-23,False
18,Jennifer,Hughes,smithjames@yahoo.com,6,1,2018-03-14,True
19,John,Walsh,sjohnson@hotmail.com,5,2,2022-08-04,True
20,Kelsey,Fletcher,sbrown@griffin.net,2,5,2015-06-24,False
21,Nicole,Simpson,zwilliams@yahoo.com,1,1,2018-09-04,False
22,Amy,Mccarty,valeriemorales@butler.com,5,4,2024-06-19,True
23,Cheryl,Lee,joshua21@nash-sanders.com,3,5,2015-11-06,False
24,Joshua,Chavez,dennis85@wiggins.com,6,1,2016-03-12,False
25,Billy,Becker,sheena09@hotmail.com,5,2,2023-11-21,False
26,Jennifer,Orr,monica23@yahoo.com,4,1,2025-06-19,False
27,Kelly,Taylor,matthew51@yahoo.com,3,5,2016-01-31,True
28,Blake,Martin,ralph82@yahoo.com,3,2,2017-06-06,True
29,Timothy,Allen,hayden81@powell-murphy.biz,2,1,2017-04-29,False
30,Cory,Kerr,mary51@yahoo.com,4,1,2017-06-13,True
31,Holly,Simmons,jessica22@hotmail.com,6,2,2025-01-29,True
